year,mode,mean,median,p05,p25,p75,p95,share_negative
1,10371676,10258786,10231557,8857863,9639031,10840537,11759321,0.0
2,10727732,10787714,10733504,8870214,9911722,11574704,12943644,0.0
3,10862105,11328599,11223121,8916599,10212285,12310565,14076731,0.0
4,11384572,11920089,11768765,9044657,10561507,13135788,15310871,0.0
5,11460123,12513776,12318456,9205364,10933040,13851647,16543362,0.0
6,12229828,13145883,12906903,9396028,11333336,14675800,17807930,0.0
7,13559973,13819889,13542006,9633810,11749880,15533776,19073004,0.0
8,13176669,14507782,14149325,9897715,12228081,16397985,20213245,0.0
9,13537215,15238813,14819302,10155527,12712733,17325183,21707212,0.0
10,15001539,16019578,15526566,10431795,13202647,18318091,23324061,0.0
11,14361524,16223650,15680021,10128685,13105137,18734164,24341461,0.0
12,14135527,16430745,15824868,9804750,13026935,19176553,25162531,0.0
13,13731660,16615284,15907394,9457276,12864365,19552199,26287847,0.0
14,13950416,16781270,15959522,9068522,12739567,19954386,27101989,0.0
15,14897026,16932843,16043002,8681490,12571639,20185944,28203738,0.0
16,14052664,17102995,16143917,8335481,12427755,20550158,29290196,0.0
17,13889693,17278087,16209330,7923328,12236884,20944839,30444359,0.0
18,13863224,17438880,16210931,7525998,12051379,21390231,31589221,0.0
19,13461225,17588014,16252791,7046070,11855669,21745640,32822843,0.0
20,12287892,17746527,16325153,6587026,11594024,22081498,34011835,0.0
21,11588892,17869157,16264905,6096336,11362156,22520112,35014239,0.0
22,12818227,17997535,16296677,5655288,11065216,22982621,36209591,0.001
23,12019243,18129294,16306333,5039042,10772682,23218814,37749817,0.002
24,11011286,18240471,16212877,4448404,10382829,23521878,38988241,0.004
25,9698657,18354487,16289225,3826742,10035821,24033544,40457401,0.006
26,8709638,18449409,16206758,3120828,9562168,24432320,42146632,0.012
27,8723565,18536838,16115849,2407499,9200724,24787047,43472459,0.019
28,9463006,18604690,15927677,1671580,8749539,25154155,45240682,0.027
29,7945807,18672244,15853764,847664,8256288,25544709,46684286,0.038
30,7488626,18739427,15582579,-25475,7687062,25980752,48482768,0.05
31,6690978,18806561,15456364,-945804,7099873,26456114,50538037,0.064
32,6007668,18823924,15186140,-1946838,6483063,26659958,52487253,0.082
33,7018394,18836944,14963959,-2975443,5781534,26990705,54162759,0.102
34,4393983,18816763,14786288,-4136186,5093351,27238929,55963328,0.123
35,3607086,18803041,14427591,-5329374,4322220,27771749,58283699,0.145
